node	Country_Full	agg
JX448340	Indonesia	Indonesia
JX462616	Indonesia	Indonesia
JX462623	Indonesia	Indonesia
MW690148	Malaysia	Malaysia
MW690151	Malaysia	Malaysia
MW690147	Malaysia	Malaysia
MW690146	Malaysia	Malaysia
MW690143	Malaysia	Malaysia
MF620996	Malaysia	Malaysia
MW690150	Malaysia	Malaysia
MW690144	Malaysia	Malaysia
MW690145	Malaysia	Malaysia
MW690149	Malaysia	Malaysia
MW690153	Malaysia	Malaysia
JX462637	Indonesia	Indonesia
JX462638	Indonesia	Indonesia
JX462639	Indonesia	Indonesia
JX462633	Indonesia	Indonesia
JX462641	Indonesia	Indonesia
JX462640	Indonesia	Indonesia
JX462642	Indonesia	Indonesia
JX462643	Indonesia	Indonesia
KU055512	Indonesia	Indonesia
