node	British Empire	French Empire	Non-colonial	Portugese Empire	Russian Empire	Spainish Empire
KX148258	0.0	1.0	0.0	0.0	0.0	0.0
n20012001	0.9999999398830309	3.815897911744369e-08	1.6318619506241758e-08	2.9719355481335967e-10	3.379214826216081e-09	1.962962188865035e-09
MW690142	1.0	0.0	0.0	0.0	0.0	0.0
KU055593	0.0	1.0	0.0	0.0	0.0	0.0
KU055495	0.0	0.0	1.0	0.0	0.0	0.0
KU055496	0.0	0.0	1.0	0.0	0.0	0.0
KU055590	0.0	1.0	0.0	0.0	0.0	0.0
DQ275541	0.0	0.0	1.0	0.0	0.0	0.0
DQ275540	0.0	0.0	1.0	0.0	0.0	0.0
DQ275545	0.0	0.0	1.0	0.0	0.0	0.0
DQ275538	0.0	0.0	1.0	0.0	0.0	0.0
n20252025	0.9999996998585904	4.775497462071092e-08	1.8563605886367657e-07	3.517628311423276e-09	3.999690286214545e-08	2.3235845019742525e-08
EU004781	1.0	0.0	0.0	0.0	0.0	0.0
FJ825129	1.0	0.0	0.0	0.0	0.0	0.0
KT894567	1.0	0.0	0.0	0.0	0.0	0.0
EU004744	1.0	0.0	0.0	0.0	0.0	0.0
EU004728	1.0	0.0	0.0	0.0	0.0	0.0
n2116	0.9999999999999994	5.329444057954601e-17	2.0716940982821161e-16	3.925665012138284e-18	4.4636450545364184e-17	3.5165161724145745e-16
MG383892	1.0	0.0	0.0	0.0	0.0	0.0
MK124758	1.0	0.0	0.0	0.0	0.0	0.0
KF663516	1.0	0.0	0.0	0.0	0.0	0.0
n2178	0.9617317363760876	0.00011015252636096691	0.03800414785944073	8.113827897085536e-06	9.225761152365414e-05	5.359179869018103e-05
n2201	1.0	0.0	0.0	0.0	0.0	0.0
EU159372	1.0	0.0	0.0	0.0	0.0	0.0
n22052205	0.0	0.0	1.0	0.0	0.0	0.0
KX447687	1.0	0.0	0.0	0.0	0.0	0.0
KY613020	1.0	0.0	0.0	0.0	0.0	0.0
JQ040584	1.0	0.0	0.0	0.0	0.0	0.0
JQ040586	1.0	0.0	0.0	0.0	0.0	0.0
n22242224	1.19667976328584e-08	3.3254430080164403e-09	0.9999999800596957	2.4495191476764043e-10	2.785205562805392e-09	1.6179063533892678e-09
n2225	0.0	0.0	1.0	0.0	0.0	0.0
